lat,lon,valores
42.3531125,-71.062972,$ 2210k
42.8125913,-70.8772751,$ 3845k
42.3779,-71.03976,$ 2953k
42.3779,-71.03976,$ 4852k
42.3544219,-71.0766618,$ 1789k
42.3657204,-71.0667383,$ 4273k
42.3779,-71.03976,$ 3109k
42.36565,-71.067503,$ 2517k
42.351963538462,-71.069738423077,$ 3682k
42.35711775,-71.066009036815,$ 4971k
42.3779,-71.03976,$ 3589k
42.3779,-71.03976,$ 4231k
42.580923,-71.814478,$ 2950k
42.3222244,-71.1154261,$ 2643k
42.343576758621,-71.073723172414,$ 3899k
42.358491,-71.06487,$ 1743k
41.884449727984,-71.495678204583,$ 2990k
42.364324857958,-71.06658842696,$ 3895k
42.3538213,-71.0598911,$ 4777k
42.352592,-71.042149,$ 1933k
42.3779,-71.03976,$ 3540k
42.350132,-71.044022,$ 2094k
42.344779545455,-71.063776272727,$ 4314k
42.3602153,-71.063067264438,$ 4819k
42.353458,-71.062852,$ 3325k
42.36565,-71.067503,$ 2641k
42.350857,-71.084751,$ 3133k
42.352592,-71.042149,$ 3710k
42.772877080293,-71.403118301054,$ 2978k
42.351839738184,-71.086143747381,$ 4028k
42.34866685,-71.078316471051,$ 3301k
42.3512752,-71.078621601407,$ 2410k
42.348756,-71.090361,$ 4957k
42.3117796,-71.091924810075,$ 2437k
42.3779,-71.03976,$ 2908k
42.344779545455,-71.063776272727,$ 3124k
42.3571981,-71.0599408,$ 4952k
42.301692,-71.054924,$ 4605k
42.344779545455,-71.063776272727,$ 4083k
42.3649359,-71.032092076319,$ 2247k
42.3376855,-71.0782145,$ 3187k
42.3520867,-71.082442065723,$ 4353k
42.837392716662,-71.492685674719,$ 4570k
42.366829933646,-71.052498292199,$ 3356k
42.366829933646,-71.052498292199,$ 3152k
42.2708804,-72.6719579,$ 4916k
42.35128105,-71.172507329318,$ 2292k
42.311588,-72.635177,$ 3529k
42.3585267,-71.066325563315,$ 2951k
42.363611076923,-71.060794153846,$ 3639k
42.348759424022,-71.082000902594,$ 3277k
42.258791,-72.687264,$ 2543k
42.33614355,-71.076181786932,$ 3240k
42.281776,-71.058898,$ 4219k
42.344779545455,-71.063776272727,$ 4705k
42.3537521,-71.0621402,$ 3571k
42.337367,-71.073401,$ 2796k
42.354350934049,-71.057511375552,$ 2024k
42.3522463,-71.0751566,$ 2590k
42.24870765,-72.579866461652,$ 4803k
42.3489443,-71.0737833,$ 3121k
42.3554946,-71.073358333206,$ 2299k
42.36014785,-71.071431154777,$ 4410k
42.3294008,-71.097483701101,$ 3332k
42.3294008,-71.097483701101,$ 4163k
42.3537521,-71.0621402,$ 4711k
42.3357487,-71.0463906,$ 2623k
42.352592,-71.042149,$ 2045k
42.3558087,-71.1703406,$ 2891k
42.350825,-71.066946,$ 2764k
42.3544219,-71.0766618,$ 4378k
42.364324857958,-71.06658842696,$ 4879k
